Id,DatasetID,IndividualID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,Habitat,LabField,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Location,LocationType,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,FigureTable,Citation,DOI,CuratedByCitation,CuratedByDOI,SubmittedBy,ContributorEmail,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
92517,557,PHX331,development time,individual-level duration of life stage,31,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92519,557,PHX332,development time,individual-level duration of life stage,32,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92521,557,PHX333,development time,individual-level duration of life stage,33,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92523,557,PHX334,development time,individual-level duration of life stage,37,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92525,557,PHX335,development time,individual-level duration of life stage,33,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92526,557,PHX336,development time,individual-level duration of life stage,37,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92528,557,PHX337,development time,individual-level duration of life stage,38,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92530,557,PHX338,development time,individual-level duration of life stage,40,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92532,557,PHX339,development time,individual-level duration of life stage,35,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
92534,557,PHX340,development time,individual-level duration of life stage,39,days,terrestrial,laboratory,resource supply,food quantity supplied at a constant rate ,0.1,mg individual-1 day-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,juvenile (not inc egg stage),22,Celsius,26,Celsius,supplementary material,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,1/1/21
